play,Go!,Играть
continue,Continue,Продолжить
settings,Settings,Настройки
vsync,Vsync,Ограничитель FPS
aa,AntiAnialising,Сглаживание
robotparts,RobotEdit,Сборка робота
back,Back,Назад
inventory,Inventory,Инвентарь
workbench,Workbench,Верстак
craft,Craft,Крафт
pause,YOU MADE YOUR ROBOT? NO? DO IT!,ТЫ СДЕЛАЛ РОБОТА? НЕТ? ИДИ ДЕЛАЙ!
title,PICK UP A SCRAP AND MAKE YOURSELF,СОБЕРИ ЛОМ И СДЕЛАЙ СЕБЯ
quit,Quit to desktop,Выйти на рабочий стол
loading,Loading,Загрузка
language,Language,Язык
tomenu,Quit to menu,Выйти в меню
new,New game,Новая игра
load,Load,Загрузить
save,Save,Сохранить
